T,P,Density,Enthalpy,Entropy,Z,Viscosity,cg
337,5,30.101,960.11,4.8451,0.95104,13.099,0.2091
337,6,36.443,952.35,4.7326,0.94266,13.314,0.17526
337,7,42.871,944.65,4.6347,0.93486,13.546,0.15087
337,8,49.374,937.04,4.5477,0.92769,13.797,0.13237
337,9,55.938,929.54,4.469,0.9212,14.066,0.11777
337,10,62.544,922.18,4.397,0.91543,14.353,0.10589
337,11,69.176,914.97,4.3305,0.91043,14.657,0.095962
337,12,75.814,907.94,4.2687,0.90624,14.978,0.087506
337,13,82.438,901.11,4.2109,0.90288,15.315,0.080176
337,14,89.027,894.5,4.1567,0.90037,15.666,0.073736
337,15,95.56,888.13,4.1056,0.89873,16.031,0.068014
337,16,102.02,882.01,4.0574,0.89795,16.409,0.062885
337,17,108.39,876.16,4.0118,0.89803,16.797,0.058258
337,18,114.64,870.59,3.9687,0.89896,17.195,0.054061
337,19,120.78,865.29,3.9277,0.90071,17.6,0.05024
337,20,126.77,860.28,3.8889,0.90326,18.013,0.046752
337,21,132.63,855.55,3.852,0.90656,18.43,0.043562
337,22,138.33,851.1,3.8169,0.9106,18.852,0.04064
337,23,143.87,846.92,3.7834,0.91532,19.276,0.037961
337,24,149.25,843.02,3.7516,0.92068,19.702,0.035504
337,25,154.47,839.38,3.7213,0.92665,20.129,0.03325
337,26,159.52,835.98,3.6923,0.93318,20.556,0.031179
337,27,164.42,832.84,3.6646,0.94023,20.982,0.029277
337,28,169.15,829.92,3.6382,0.94776,21.406,0.02753
337,29,173.73,827.22,3.6129,0.95573,21.829,0.025922
337,30,178.16,824.74,3.5886,0.96411,22.249,0.024444
337,31,182.44,822.45,3.5654,0.97286,22.666,0.023082
337,32,186.58,820.35,3.5431,0.98196,23.08,0.021826
337,33,190.59,818.44,3.5217,0.99136,23.49,0.020668
337,34,194.46,816.68,3.5011,1.001,23.897,0.019599
337,35,198.21,815.09,3.4812,1.011,24.301,0.01861
337,36,201.84,813.65,3.4621,1.0212,24.701,0.017695
337,37,205.36,812.35,3.4437,1.0316,25.096,0.016846
337,38,208.76,811.18,3.4259,1.0422,25.488,0.016059
337,39,212.06,810.14,3.4087,1.053,25.876,0.015328
337,40,215.27,809.22,3.392,1.0639,26.261,0.014648
337,41,218.37,808.4,3.376,1.075,26.641,0.014014
337,42,221.39,807.7,3.3604,1.0862,27.018,0.013423
337,43,224.32,807.09,3.3452,1.0975,27.391,0.012871
337,44,227.16,806.58,3.3306,1.109,27.761,0.012354
337,45,229.93,806.15,3.3163,1.1205,28.126,0.011871
337,46,232.62,805.81,3.3025,1.1322,28.489,0.011418
337,47,235.24,805.55,3.289,1.1439,28.848,0.010993
337,48,237.8,805.36,3.2759,1.1557,29.203,0.010593
337,49,240.28,805.25,3.2632,1.1676,29.556,0.010217
337,50,242.71,805.2,3.2508,1.1795,29.905,0.0098629
341,5,29.668,970.36,4.8753,0.95362,13.21,0.20855
341,6,35.898,962.8,4.7634,0.94574,13.42,0.17472
341,7,42.208,955.31,4.6661,0.93841,13.647,0.15035
341,8,48.585,947.91,4.5797,0.93169,13.891,0.13187
341,9,55.017,940.61,4.5017,0.92563,14.153,0.11729
341,10,61.486,933.45,4.4303,0.92026,14.431,0.10544
341,11,67.978,926.45,4.3644,0.91562,14.726,0.095561
341,12,74.472,919.61,4.3031,0.91175,15.037,0.087151
341,13,80.952,912.97,4.2459,0.90867,15.362,0.079873
341,14,87.398,906.54,4.1922,0.90639,15.702,0.073488
341,15,93.791,900.34,4.1416,0.90494,16.055,0.067823
341,16,100.11,894.38,4.0939,0.9043,16.419,0.062752
341,17,106.35,888.67,4.0487,0.90448,16.794,0.058181
341,18,112.48,883.22,4.0059,0.90546,17.178,0.054038
341,19,118.5,878.04,3.9654,0.90722,17.57,0.050269
341,20,124.4,873.13,3.9268,0.90974,17.968,0.046828
341,21,130.15,868.49,3.8901,0.91298,18.372,0.043679
341,22,135.76,864.12,3.8553,0.91692,18.78,0.040795
